algo,event_id,event_type,breach_ts,breach_price,breached_pivot_type,breached_pivot_index,breached_pivot_ts,breached_pivot_price,mode
fractal,1,BOS_DOWN,2025-08-03 12:00:00+00:00,6214.233,SL,20,2025-08-02 08:00:00+00:00,6223.475,close
fractal,2,BOS_UP,2025-08-08 16:00:00+00:00,6168.588,SH,50,2025-08-07 08:00:00+00:00,6154.178,close
fractal,3,CHOCH_UP,2025-08-08 16:00:00+00:00,6168.588,SH,50,2025-08-07 08:00:00+00:00,6154.178,close
fractal,4,BOS_DOWN,2025-08-12 04:00:00+00:00,6124.768,SL,73,2025-08-11 04:00:00+00:00,6146.95,close
fractal,5,CHOCH_DOWN,2025-08-12 04:00:00+00:00,6124.768,SL,73,2025-08-11 04:00:00+00:00,6146.95,close
fractal,6,BOS_DOWN,2025-08-16 04:00:00+00:00,6036.215,SL,88,2025-08-13 16:00:00+00:00,6049.358,close
fractal,7,BOS_DOWN,2025-08-17 12:00:00+00:00,6020.492,SL,106,2025-08-16 16:00:00+00:00,6024.594,close
fractal,8,BOS_DOWN,2025-08-21 12:00:00+00:00,6011.227,SL,129,2025-08-20 12:00:00+00:00,6015.033,close
zigzag,1,BOS_DOWN,2025-08-03 08:00:00+00:00,6224.898,SL,11,2025-07-31 20:00:00+00:00,6225.34,close
zigzag,2,BOS_DOWN,2025-08-12 04:00:00+00:00,6124.768,SL,64,2025-08-09 16:00:00+00:00,6146.877,close
zigzag,3,BOS_DOWN,2025-08-16 04:00:00+00:00,6036.215,SL,88,2025-08-13 16:00:00+00:00,6049.358,close
zigzag,4,BOS_DOWN,2025-08-17 12:00:00+00:00,6020.492,SL,106,2025-08-16 16:00:00+00:00,6024.594,close
zigzag,5,BOS_DOWN,2025-08-21 12:00:00+00:00,6011.227,SL,112,2025-08-17 16:00:00+00:00,6012.9,close
